route_id,obs_len,rank,neighbor_route_id,probability,cos_dist,ade_raw_m,fde_raw_m,ade_snapped_m,fde_snapped_m,corridor_dist_raw_m,corridor_dist_snapped_m,is_top1
C013,16,5,G007,0.107081,0.06893,8.8096,0.0,8.8584,0.0,0.5321,0.0,0
C013,16,6,C007,0.097012,0.073868,93.7389,145.086,93.7784,145.086,0.1337,0.0,0
C013,20,1,C012,0.33723,0.004706,45.0701,130.3039,44.9732,130.3039,0.3779,0.0,1
C013,20,2,G009,0.207269,0.029044,51.1498,130.1676,51.1772,130.1676,0.4432,0.0,0
C013,20,3,C016,0.167222,0.039778,62.8629,133.5319,62.8522,133.5319,0.0631,0.0,0
C013,20,4,G007,0.116998,0.057637,8.8096,0.0,8.8584,0.0,0.5321,0.0,0
C013,20,5,G015,0.090521,0.070465,15.7804,28.8847,15.63,28.8847,0.432,0.0,0
C013,20,6,G006,0.08076,0.07617,52.6782,12.242,52.6345,12.242,0.3709,0.0,0
C014,12,1,G019,0.20892,0.023504,15.7946,19.0121,15.861,19.0121,0.1879,0.0,1
C014,12,2,G014,0.182734,0.030201,26.8744,50.4975,26.7589,50.4975,0.2862,0.0,0
C014,12,3,C025,0.170162,0.033764,27.7705,50.4975,27.8566,50.4975,0.2475,0.0,0
C014,12,4,C009,0.168076,0.034381,27.682,50.4975,27.779,50.4975,0.2481,0.0,0
C014,12,5,G018,0.143409,0.042317,34.1243,59.5936,34.1714,59.5936,0.3356,0.0,0
C014,12,6,C010,0.126699,0.048512,33.8061,59.5936,33.8224,59.5936,0.2908,0.0,0
C014,16,1,G019,0.203862,0.023172,15.7946,19.0121,15.861,19.0121,0.1879,0.0,1
C014,16,2,G014,0.184881,0.028059,26.8744,50.4975,26.7589,50.4975,0.2862,0.0,0
C014,16,3,C025,0.170174,0.032204,27.7705,50.4975,27.8566,50.4975,0.2475,0.0,0
C014,16,4,C009,0.169441,0.032419,27.682,50.4975,27.779,50.4975,0.2481,0.0,0
C014,16,5,G018,0.144429,0.040405,34.1243,59.5936,34.1714,59.5936,0.3356,0.0,0
C014,16,6,C010,0.127213,0.046751,33.8061,59.5936,33.8224,59.5936,0.2908,0.0,0
C014,20,1,G019,0.200861,0.023878,15.7946,19.0121,15.861,19.0121,0.1879,0.0,1
C014,20,2,G014,0.185225,0.02793,26.8744,50.4975,26.7589,50.4975,0.2862,0.0,0
C014,20,3,C025,0.171127,0.031888,27.7705,50.4975,27.8566,50.4975,0.2475,0.0,0
C014,20,4,C009,0.169598,0.032337,27.682,50.4975,27.779,50.4975,0.2481,0.0,0
C014,20,5,G018,0.144552,0.040327,34.1243,59.5936,34.1714,59.5936,0.3356,0.0,0
C014,20,6,C010,0.128637,0.046159,33.8061,59.5936,33.8224,59.5936,0.2908,0.0,0
C015,12,1,C016,0.224828,0.084357,61.6393,107.5821,61.6307,107.5821,0.0631,0.0,1
C015,12,2,C007,0.216935,0.086144,97.5061,123.2109,97.5444,123.2109,0.1337,0.0,0
C015,12,3,C005,0.155337,0.102844,1.7227,0.0,1.9753,0.0,0.6181,0.0,0
C015,12,4,C013,0.137307,0.109012,9.9128,28.8847,9.8768,28.8847,0.4728,0.0,0
C015,12,5,G005,0.135717,0.109595,83.3718,130.9996,83.3399,130.9996,0.2445,0.0,0
C015,12,6,C017,0.129875,0.111795,53.0148,120.1833,53.2627,120.1833,0.4273,0.0,0
C015,16,1,C007,0.250119,0.074784,97.5061,123.2109,97.5444,123.2109,0.1337,0.0,1
C015,16,2,C016,0.203893,0.085001,61.6393,107.5821,61.6307,107.5821,0.0631,0.0,0
C015,16,3,G005,0.150888,0.100054,83.3718,130.9996,83.3399,130.9996,0.2445,0.0,0
C015,16,4,C005,0.132722,0.106468,1.7227,0.0,1.9753,0.0,0.6181,0.0,0
C015,16,5,C013,0.131368,0.10698,9.9128,28.8847,9.8768,28.8847,0.4728,0.0,0
C015,16,6,C017,0.131011,0.107117,53.0148,120.1833,53.2627,120.1833,0.4273,0.0,0
C015,20,1,C007,0.243637,0.07402,97.5061,123.2109,97.5444,123.2109,0.1337,0.0,1
C015,20,2,C016,0.20332,0.083065,61.6393,107.5821,61.6307,107.5821,0.0631,0.0,0
C015,20,3,C005,0.145901,0.099658,1.7227,0.0,1.9753,0.0,0.6181,0.0,0
C015,20,4,G005,0.140596,0.10151,83.3718,130.9996,83.3399,130.9996,0.2445,0.0,0
C015,20,5,C013,0.140579,0.101516,9.9128,28.8847,9.8768,28.8847,0.4728,0.0,0
